date,country,H,I,S,M,D
2021-04-01,Australia,25,0,0,0,0
2021-04-01,Sweden,10,0,0,0,0
2021-04-02,Australia,19,6,0,0,0
2021-04-02,Sweden,5,5,0,0,0
2021-04-03,Australia,14,11,0,0,0
2021-04-03,Sweden,5,5,0,0,0
2021-04-04,Australia,10,15,0,0,0
2021-04-04,Sweden,3,7,0,0,0
2021-04-05,Australia,7,18,0,0,0
2021-04-05,Sweden,2,8,0,0,0
2021-04-06,Australia,6,13,3,3,0
2021-04-06,Sweden,2,3,3,2,0
2021-04-07,Australia,6,8,6,5,0
2021-04-07,Sweden,2,3,3,2,0
2021-04-08,Australia,5,5,9,6,0
2021-04-08,Sweden,1,2,5,2,0
2021-04-09,Australia,3,4,9,9,0
2021-04-09,Sweden,1,1,5,3,0
2021-04-10,Australia,3,3,10,9,0
2021-04-10,Sweden,1,1,5,3,0
2021-04-11,Australia,3,3,10,9,0
2021-04-11,Sweden,1,1,5,3,0
2021-04-12,Australia,3,2,11,9,0
2021-04-12,Sweden,0,1,6,3,0
2021-04-13,Australia,3,0,13,9,0
2021-04-13,Sweden,0,1,6,3,0
2021-04-14,Australia,3,0,13,9,0
2021-04-14,Sweden,0,1,6,3,0
2021-04-15,Australia,1,2,13,9,0
2021-04-15,Sweden,0,1,6,3,0
2021-04-16,Australia,1,2,13,9,0
2021-04-16,Sweden,0,0,6,4,0
2021-04-17,Australia,1,2,13,9,0
2021-04-17,Sweden,0,0,6,4,0
2021-04-18,Australia,1,2,13,9,0
2021-04-18,Sweden,0,0,6,4,0
2021-04-19,Australia,1,0,13,11,0
2021-04-19,Sweden,0,0,6,4,0
2021-04-20,Australia,1,0,10,12,2
2021-04-20,Sweden,0,0,3,5,2
2021-04-21,Australia,1,0,7,14,3
2021-04-21,Sweden,0,0,3,5,2
2021-04-22,Australia,1,0,4,17,3
2021-04-22,Sweden,0,0,1,6,3
2021-04-23,Australia,1,0,4,17,3
2021-04-23,Sweden,0,0,1,6,3
2021-04-24,Australia,1,0,3,18,3
2021-04-24,Sweden,0,0,1,6,3
2021-04-25,Australia,1,0,3,18,3
2021-04-25,Sweden,0,0,1,6,3
2021-04-26,Australia,1,0,2,19,3
2021-04-26,Sweden,0,0,0,7,3
2021-04-27,Australia,1,0,0,20,4
2021-04-27,Sweden,0,0,0,7,3
2021-04-28,Australia,1,0,0,20,4
2021-04-28,Sweden,0,0,0,7,3
2021-04-29,Australia,1,0,0,20,4
2021-04-29,Sweden,0,0,0,7,3
2021-04-30,Australia,0,1,0,20,4
2021-04-30,Sweden,0,0,0,7,3
2021-05-01,Australia,0,1,0,20,4
2021-05-01,Sweden,0,0,0,7,3
2021-05-02,Australia,0,1,0,20,4
2021-05-02,Sweden,0,0,0,7,3
2021-05-03,Australia,0,1,0,20,4
2021-05-03,Sweden,0,0,0,7,3
2021-05-04,Australia,0,0,0,21,4
2021-05-04,Sweden,0,0,0,7,3
2021-05-05,Australia,0,0,0,21,4
2021-05-05,Sweden,0,0,0,7,3
2021-05-06,Australia,0,0,0,21,4
2021-05-06,Sweden,0,0,0,7,3
2021-05-07,Australia,0,0,0,21,4
2021-05-07,Sweden,0,0,0,7,3
2021-05-08,Australia,0,0,0,21,4
2021-05-08,Sweden,0,0,0,7,3
2021-05-09,Australia,0,0,0,21,4
2021-05-09,Sweden,0,0,0,7,3
2021-05-10,Australia,0,0,0,21,4
2021-05-10,Sweden,0,0,0,7,3
2021-05-11,Australia,0,0,0,21,4
2021-05-11,Sweden,0,0,0,7,3
2021-05-12,Australia,0,0,0,21,4
2021-05-12,Sweden,0,0,0,7,3
2021-05-13,Australia,0,0,0,21,4
2021-05-13,Sweden,0,0,0,7,3
2021-05-14,Australia,0,0,0,21,4
2021-05-14,Sweden,0,0,0,7,3
2021-05-15,Australia,0,0,0,21,4
2021-05-15,Sweden,0,0,0,7,3
2021-05-16,Australia,0,0,0,21,4
2021-05-16,Sweden,0,0,0,7,3
2021-05-17,Australia,0,0,0,21,4
2021-05-17,Sweden,0,0,0,7,3
2021-05-18,Australia,0,0,0,21,4
2021-05-18,Sweden,0,0,0,7,3
2021-05-19,Australia,0,0,0,21,4
2021-05-19,Sweden,0,0,0,7,3
2021-05-20,Australia,0,0,0,21,4
2021-05-20,Sweden,0,0,0,7,3
2021-05-21,Australia,0,0,0,21,4
2021-05-21,Sweden,0,0,0,7,3
2021-05-22,Australia,0,0,0,21,4
2021-05-22,Sweden,0,0,0,7,3
2021-05-23,Australia,0,0,0,21,4
2021-05-23,Sweden,0,0,0,7,3
2021-05-24,Australia,0,0,0,21,4
2021-05-24,Sweden,0,0,0,7,3
2021-05-25,Australia,0,0,0,21,4
2021-05-25,Sweden,0,0,0,7,3
2021-05-26,Australia,0,0,0,21,4
2021-05-26,Sweden,0,0,0,7,3
2021-05-27,Australia,0,0,0,21,4
2021-05-27,Sweden,0,0,0,7,3
2021-05-28,Australia,0,0,0,21,4
2021-05-28,Sweden,0,0,0,7,3
2021-05-29,Australia,0,0,0,21,4
2021-05-29,Sweden,0,0,0,7,3
2021-05-30,Australia,0,0,0,21,4
2021-05-30,Sweden,0,0,0,7,3
2021-05-31,Australia,0,0,0,21,4
2021-05-31,Sweden,0,0,0,7,3
2021-06-01,Australia,0,0,0,21,4
2021-06-01,Sweden,0,0,0,7,3
2021-06-02,Australia,0,0,0,21,4
2021-06-02,Sweden,0,0,0,7,3
2021-06-03,Australia,0,0,0,21,4
2021-06-03,Sweden,0,0,0,7,3
2021-06-04,Australia,0,0,0,21,4
2021-06-04,Sweden,0,0,0,7,3
2021-06-05,Australia,0,0,0,21,4
2021-06-05,Sweden,0,0,0,7,3
2021-06-06,Australia,0,0,0,21,4
2021-06-06,Sweden,0,0,0,7,3
2021-06-07,Australia,0,0,0,21,4
2021-06-07,Sweden,0,0,0,7,3
2021-06-08,Australia,0,0,0,21,4
2021-06-08,Sweden,0,0,0,7,3
2021-06-09,Australia,0,0,0,21,4
2021-06-09,Sweden,0,0,0,7,3
2021-06-10,Australia,0,0,0,21,4
2021-06-10,Sweden,0,0,0,7,3
2021-06-11,Australia,0,0,0,21,4
2021-06-11,Sweden,0,0,0,7,3
2021-06-12,Australia,0,0,0,21,4
2021-06-12,Sweden,0,0,0,7,3
2021-06-13,Australia,0,0,0,21,4
2021-06-13,Sweden,0,0,0,7,3
2021-06-14,Australia,0,0,0,21,4
2021-06-14,Sweden,0,0,0,7,3
2021-06-15,Australia,0,0,0,21,4
2021-06-15,Sweden,0,0,0,7,3
2021-06-16,Australia,0,0,0,21,4
2021-06-16,Sweden,0,0,0,7,3
2021-06-17,Australia,0,0,0,21,4
2021-06-17,Sweden,0,0,0,7,3
2021-06-18,Australia,0,0,0,21,4
2021-06-18,Sweden,0,0,0,7,3
2021-06-19,Australia,0,0,0,21,4
2021-06-19,Sweden,0,0,0,7,3
2021-06-20,Australia,0,0,0,21,4
2021-06-20,Sweden,0,0,0,7,3
2021-06-21,Australia,0,0,0,21,4
2021-06-21,Sweden,0,0,0,7,3
2021-06-22,Australia,0,0,0,21,4
2021-06-22,Sweden,0,0,0,7,3
2021-06-23,Australia,0,0,0,21,4
2021-06-23,Sweden,0,0,0,7,3
2021-06-24,Australia,0,0,0,21,4
2021-06-24,Sweden,0,0,0,7,3
2021-06-25,Australia,0,0,0,21,4
2021-06-25,Sweden,0,0,0,7,3
2021-06-26,Australia,0,0,0,21,4
2021-06-26,Sweden,0,0,0,7,3
2021-06-27,Australia,0,0,0,21,4
2021-06-27,Sweden,0,0,0,7,3
2021-06-28,Australia,0,0,0,21,4
2021-06-28,Sweden,0,0,0,7,3
2021-06-29,Australia,0,0,0,21,4
2021-06-29,Sweden,0,0,0,7,3
2021-06-30,Australia,0,0,0,21,4
2021-06-30,Sweden,0,0,0,7,3
2021-07-01,Australia,0,0,0,21,4
2021-07-01,Sweden,0,0,0,7,3
2021-07-02,Australia,0,0,0,21,4
2021-07-02,Sweden,0,0,0,7,3
2021-07-03,Australia,0,0,0,21,4
2021-07-03,Sweden,0,0,0,7,3
2021-07-04,Australia,0,0,0,21,4
2021-07-04,Sweden,0,0,0,7,3
2021-07-05,Australia,0,0,0,21,4
2021-07-05,Sweden,0,0,0,7,3
2021-07-06,Australia,0,0,0,21,4
2021-07-06,Sweden,0,0,0,7,3
2021-07-07,Australia,0,0,0,21,4
2021-07-07,Sweden,0,0,0,7,3
2021-07-08,Australia,0,0,0,21,4
2021-07-08,Sweden,0,0,0,7,3
2021-07-09,Australia,0,0,0,21,4
2021-07-09,Sweden,0,0,0,7,3
